,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_10_FastText_historicalVAD.tsv,0.8605,0.0,0.4182,0.009,0.4012,0.0126,0.56
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_11_FastText_historicalVAD.tsv,0.8635,0.0,0.3615,0.0257,0.4012,0.0125,0.5421
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_12_FastText_historicalVAD.tsv,0.8254,0.0,0.4648,0.0033,0.2878,0.0797,0.526
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_13_FastText_historicalVAD.tsv,0.8212,0.0,0.5173,0.0009,0.4117,0.0102,0.5834
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_14_FastText_historicalVAD.tsv,0.8074,0.0,0.4313,0.0069,0.4207,0.0085,0.5531
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_15_FastText_historicalVAD.tsv,0.8424,0.0,0.4094,0.0107,0.3919,0.015,0.5479
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_16_FastText_historicalVAD.tsv,0.8388,0.0,0.4227,0.0082,0.4816,0.0022,0.5811
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_17_FastText_historicalVAD.tsv,0.8314,0.0,0.5172,0.0009,0.3333,0.0408,0.5606
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_18_FastText_historicalVAD.tsv,0.8608,0.0,0.4904,0.0018,0.4126,0.01,0.5879
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_19_FastText_historicalVAD.tsv,0.8677,0.0,0.476,0.0025,0.4412,0.0056,0.595
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_1_FastText_historicalVAD.tsv,0.8557,0.0,0.5196,0.0008,0.4159,0.0094,0.5971
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_20_FastText_historicalVAD.tsv,0.8212,0.0,0.4506,0.0045,0.4473,0.0049,0.5731
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_21_FastText_historicalVAD.tsv,0.852,0.0,0.4742,0.0026,0.3555,0.0285,0.5606
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_22_FastText_historicalVAD.tsv,0.856,0.0,0.5009,0.0014,0.4252,0.0078,0.5941
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_23_FastText_historicalVAD.tsv,0.8435,0.0,0.4515,0.0044,0.3701,0.0222,0.555
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_24_FastText_historicalVAD.tsv,0.8413,0.0,0.3867,0.0165,0.3917,0.015,0.5399
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_25_FastText_historicalVAD.tsv,0.8641,0.0,0.5125,0.001,0.4417,0.0055,0.6061
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_26_FastText_historicalVAD.tsv,0.8144,0.0,0.3965,0.0137,0.278,0.091,0.4963
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_27_FastText_historicalVAD.tsv,0.8625,0.0,0.479,0.0023,0.3963,0.0138,0.5792
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_28_FastText_historicalVAD.tsv,0.8583,0.0,0.4132,0.0099,0.4506,0.0045,0.574
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_29_FastText_historicalVAD.tsv,0.8677,0.0,0.3854,0.0169,0.4131,0.01,0.5554
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_2_FastText_historicalVAD.tsv,0.8252,0.0,0.4882,0.0019,0.4189,0.0089,0.5774
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_30_FastText_historicalVAD.tsv,0.8508,0.0,0.4955,0.0016,0.3962,0.0138,0.5808
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_31_FastText_historicalVAD.tsv,0.8578,0.0,0.432,0.0068,0.3893,0.0157,0.5597
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_32_FastText_historicalVAD.tsv,0.828,0.0,0.4088,0.0108,0.3946,0.0142,0.5438
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_33_FastText_historicalVAD.tsv,0.885,0.0,0.4863,0.002,0.4119,0.0102,0.5944
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_34_FastText_historicalVAD.tsv,0.88,0.0,0.4055,0.0115,0.3684,0.0229,0.5513
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_35_FastText_historicalVAD.tsv,0.8368,0.0,0.4784,0.0024,0.3408,0.0363,0.552
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_36_FastText_historicalVAD.tsv,0.8401,0.0,0.5056,0.0012,0.3733,0.021,0.573
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_37_FastText_historicalVAD.tsv,0.8451,0.0,0.4892,0.0018,0.3902,0.0154,0.5748
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_38_FastText_historicalVAD.tsv,0.8558,0.0,0.45,0.0046,0.409,0.0108,0.5716
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_39_FastText_historicalVAD.tsv,0.8532,0.0,0.4677,0.0031,0.4864,0.002,0.6024
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_3_FastText_historicalVAD.tsv,0.8406,0.0,0.4407,0.0056,0.3295,0.0434,0.5369
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_40_FastText_historicalVAD.tsv,0.8456,0.0,0.4497,0.0046,0.3988,0.0131,0.5647
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_41_FastText_historicalVAD.tsv,0.8751,0.0,0.4878,0.0019,0.4059,0.0115,0.5896
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_42_FastText_historicalVAD.tsv,0.8263,0.0,0.4738,0.0027,0.3847,0.0171,0.5616
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_43_FastText_historicalVAD.tsv,0.848,0.0,0.4654,0.0032,0.3438,0.0345,0.5524
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_44_FastText_historicalVAD.tsv,0.8354,0.0,0.5308,0.0006,0.389,0.0158,0.5851
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_45_FastText_historicalVAD.tsv,0.8763,0.0,0.4673,0.0031,0.3884,0.016,0.5774
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_46_FastText_historicalVAD.tsv,0.8407,0.0,0.3846,0.0171,0.3886,0.0159,0.538
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_47_FastText_historicalVAD.tsv,0.8674,0.0,0.4773,0.0024,0.3706,0.022,0.5718
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_48_FastText_historicalVAD.tsv,0.8507,0.0,0.4508,0.0045,0.4231,0.0081,0.5748
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_49_FastText_historicalVAD.tsv,0.843,0.0,0.3814,0.0181,0.4728,0.0027,0.5657
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_4_FastText_historicalVAD.tsv,0.8491,0.0,0.4398,0.0057,0.3533,0.0296,0.5474
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_50_FastText_historicalVAD.tsv,0.872,0.0,0.4009,0.0126,0.3739,0.0207,0.549
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_5_FastText_historicalVAD.tsv,0.8598,0.0,0.4398,0.0057,0.4139,0.0098,0.5712
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_6_FastText_historicalVAD.tsv,0.8404,0.0,0.4069,0.0112,0.3829,0.0177,0.5434
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_7_FastText_historicalVAD.tsv,0.8559,0.0,0.4381,0.0059,0.4042,0.0118,0.5661
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_8_FastText_historicalVAD.tsv,0.8712,0.0,0.3734,0.0209,0.4242,0.008,0.5563
stable_words\FastText_LinearRegression\NRC_VAD3000\NRC_VAD_3000_9_FastText_historicalVAD.tsv,0.8582,0.0,0.4643,0.0033,0.4618,0.0035,0.5948
Mean,0.8493860000000001,0.0,0.4511780000000001,0.0064139999999999996,0.39714,0.017642,0.565906
