,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_10_FastText_historicalVAD.tsv,0.8598,0.0,0.6089,0.0,0.5271,0.0006,0.6653
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_11_FastText_historicalVAD.tsv,0.8565,0.0,0.6191,0.0,0.5346,0.0005,0.67
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_12_FastText_historicalVAD.tsv,0.8564,0.0,0.6092,0.0,0.5352,0.0004,0.6669
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_13_FastText_historicalVAD.tsv,0.8637,0.0,0.6178,0.0,0.5367,0.0004,0.6727
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_14_FastText_historicalVAD.tsv,0.8508,0.0,0.599,0.0001,0.5229,0.0006,0.6576
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_15_FastText_historicalVAD.tsv,0.857,0.0,0.6192,0.0,0.5355,0.0004,0.6706
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_16_FastText_historicalVAD.tsv,0.8594,0.0,0.6214,0.0,0.5277,0.0006,0.6695
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_17_FastText_historicalVAD.tsv,0.8608,0.0,0.6108,0.0,0.5352,0.0004,0.6689
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_18_FastText_historicalVAD.tsv,0.8551,0.0,0.6082,0.0,0.5357,0.0004,0.6664
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_19_FastText_historicalVAD.tsv,0.8561,0.0,0.6133,0.0,0.5193,0.0007,0.6629
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_1_FastText_historicalVAD.tsv,0.8573,0.0,0.6163,0.0,0.5266,0.0006,0.6667
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_20_FastText_historicalVAD.tsv,0.8608,0.0,0.6259,0.0,0.5405,0.0004,0.6757
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_21_FastText_historicalVAD.tsv,0.8589,0.0,0.6125,0.0,0.547,0.0003,0.6728
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_22_FastText_historicalVAD.tsv,0.8551,0.0,0.6075,0.0,0.5313,0.0005,0.6646
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_23_FastText_historicalVAD.tsv,0.8644,0.0,0.6083,0.0,0.53,0.0005,0.6676
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_24_FastText_historicalVAD.tsv,0.8597,0.0,0.6271,0.0,0.5243,0.0006,0.6704
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_25_FastText_historicalVAD.tsv,0.8554,0.0,0.6131,0.0,0.5169,0.0008,0.6618
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_26_FastText_historicalVAD.tsv,0.8574,0.0,0.6202,0.0,0.5397,0.0004,0.6724
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_27_FastText_historicalVAD.tsv,0.8575,0.0,0.6208,0.0,0.5247,0.0006,0.6677
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_28_FastText_historicalVAD.tsv,0.8536,0.0,0.6215,0.0,0.519,0.0007,0.6647
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_29_FastText_historicalVAD.tsv,0.8577,0.0,0.6058,0.0,0.5272,0.0006,0.6636
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_2_FastText_historicalVAD.tsv,0.857,0.0,0.6077,0.0,0.527,0.0006,0.6639
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_30_FastText_historicalVAD.tsv,0.8598,0.0,0.6107,0.0,0.5456,0.0003,0.672
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_31_FastText_historicalVAD.tsv,0.8596,0.0,0.6215,0.0,0.5369,0.0004,0.6727
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_32_FastText_historicalVAD.tsv,0.8591,0.0,0.6183,0.0,0.5248,0.0006,0.6674
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_33_FastText_historicalVAD.tsv,0.8602,0.0,0.6134,0.0,0.5271,0.0006,0.6669
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_34_FastText_historicalVAD.tsv,0.864,0.0,0.6251,0.0,0.5319,0.0005,0.6737
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_35_FastText_historicalVAD.tsv,0.8619,0.0,0.6095,0.0,0.5393,0.0004,0.6702
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_36_FastText_historicalVAD.tsv,0.8584,0.0,0.6305,0.0,0.5273,0.0006,0.6721
stable_words\FastText_LinearRegression\Warriner8000\Warriner_8000_37_FastText_historicalVAD.tsv,0.857,0.0,0.6159,0.0,0.5235,0.0006,0.6655
