,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\FastText_kNN\Warriner6000\Warriner_6000_10_FastText_historicalVAD.tsv,0.7769,0.0,0.6972,0.0,0.3705,0.0202,0.6149
stable_words\FastText_kNN\Warriner6000\Warriner_6000_11_FastText_historicalVAD.tsv,0.7873,0.0,0.7294,0.0,0.3912,0.0138,0.636
stable_words\FastText_kNN\Warriner6000\Warriner_6000_12_FastText_historicalVAD.tsv,0.7739,0.0,0.7471,0.0,0.3645,0.0225,0.6285
stable_words\FastText_kNN\Warriner6000\Warriner_6000_13_FastText_historicalVAD.tsv,0.7868,0.0,0.7332,0.0,0.4529,0.0038,0.6576
stable_words\FastText_kNN\Warriner6000\Warriner_6000_14_FastText_historicalVAD.tsv,0.7895,0.0,0.7071,0.0,0.3882,0.0146,0.6283
stable_words\FastText_kNN\Warriner6000\Warriner_6000_15_FastText_historicalVAD.tsv,0.7494,0.0,0.7175,0.0,0.3735,0.0192,0.6135
stable_words\FastText_kNN\Warriner6000\Warriner_6000_16_FastText_historicalVAD.tsv,0.7721,0.0,0.7202,0.0,0.3294,0.0406,0.6072
stable_words\FastText_kNN\Warriner6000\Warriner_6000_17_FastText_historicalVAD.tsv,0.7464,0.0,0.7234,0.0,0.3731,0.0193,0.6143
stable_words\FastText_kNN\Warriner6000\Warriner_6000_18_FastText_historicalVAD.tsv,0.7509,0.0,0.7142,0.0,0.3504,0.0288,0.6052
stable_words\FastText_kNN\Warriner6000\Warriner_6000_19_FastText_historicalVAD.tsv,0.7728,0.0,0.7394,0.0,0.3955,0.0127,0.6359
stable_words\FastText_kNN\Warriner6000\Warriner_6000_1_FastText_historicalVAD.tsv,0.7473,0.0,0.7306,0.0,0.3285,0.0412,0.6021
stable_words\FastText_kNN\Warriner6000\Warriner_6000_20_FastText_historicalVAD.tsv,0.7829,0.0,0.6665,0.0,0.3425,0.0328,0.5973
stable_words\FastText_kNN\Warriner6000\Warriner_6000_21_FastText_historicalVAD.tsv,0.7604,0.0,0.7195,0.0,0.4136,0.0089,0.6312
