,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_10_SGNS_historicalVAD.tsv,0.8989,0.0,0.4839,0.0021,0.5373,0.0005,0.64
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_11_SGNS_historicalVAD.tsv,0.8831,0.0,0.4928,0.0017,0.5552,0.0003,0.6437
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_12_SGNS_historicalVAD.tsv,0.8848,0.0,0.4827,0.0021,0.5086,0.0011,0.6254
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_13_SGNS_historicalVAD.tsv,0.8829,0.0,0.4817,0.0022,0.5144,0.001,0.6263
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_14_SGNS_historicalVAD.tsv,0.8913,0.0,0.4742,0.0026,0.5076,0.0011,0.6244
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_15_SGNS_historicalVAD.tsv,0.8924,0.0,0.4533,0.0043,0.4812,0.0022,0.609
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_16_SGNS_historicalVAD.tsv,0.8588,0.0,0.4753,0.0026,0.5003,0.0014,0.6114
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_17_SGNS_historicalVAD.tsv,0.8713,0.0,0.4965,0.0015,0.5459,0.0004,0.6379
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_18_SGNS_historicalVAD.tsv,0.8799,0.0,0.4626,0.0035,0.5084,0.0011,0.6169
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_19_SGNS_historicalVAD.tsv,0.8834,0.0,0.4714,0.0028,0.5299,0.0006,0.6282
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_1_SGNS_historicalVAD.tsv,0.882,0.0,0.501,0.0014,0.5122,0.001,0.6318
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_20_SGNS_historicalVAD.tsv,0.8838,0.0,0.456,0.004,0.5277,0.0007,0.6225
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_21_SGNS_historicalVAD.tsv,0.8833,0.0,0.4481,0.0048,0.5077,0.0011,0.613
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_22_SGNS_historicalVAD.tsv,0.885,0.0,0.4955,0.0016,0.5818,0.0001,0.6541
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_23_SGNS_historicalVAD.tsv,0.8978,0.0,0.4375,0.006,0.6172,0.0,0.6508
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_24_SGNS_historicalVAD.tsv,0.8903,0.0,0.4697,0.0029,0.4952,0.0016,0.6184
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_25_SGNS_historicalVAD.tsv,0.8972,0.0,0.4866,0.0019,0.5475,0.0004,0.6438
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_26_SGNS_historicalVAD.tsv,0.8949,0.0,0.4265,0.0076,0.5113,0.001,0.6109
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_27_SGNS_historicalVAD.tsv,0.8779,0.0,0.4793,0.0023,0.5537,0.0003,0.6369
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_28_SGNS_historicalVAD.tsv,0.8957,0.0,0.4788,0.0024,0.4631,0.0034,0.6125
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_29_SGNS_historicalVAD.tsv,0.8971,0.0,0.453,0.0043,0.5275,0.0007,0.6259
stable_words\SGNS_LinearRegression\NRC_VAD5000\NRC_VAD_5000_2_SGNS_historicalVAD.tsv,0.8696,0.0,0.4597,0.0037,0.5669,0.0002,0.6321
