,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_10_SGNS_historicalVAD.tsv,0.8699,0.0,0.644,0.0,0.5488,0.0003,0.6876
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_11_SGNS_historicalVAD.tsv,0.8849,0.0,0.5856,0.0001,0.5659,0.0002,0.6788
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_12_SGNS_historicalVAD.tsv,0.8695,0.0,0.6294,0.0,0.4959,0.0013,0.6649
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_13_SGNS_historicalVAD.tsv,0.8643,0.0,0.6003,0.0001,0.5345,0.0005,0.6664
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_14_SGNS_historicalVAD.tsv,0.8593,0.0,0.6145,0.0,0.5391,0.0004,0.671
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_15_SGNS_historicalVAD.tsv,0.8554,0.0,0.5267,0.0006,0.5338,0.0005,0.6386
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_16_SGNS_historicalVAD.tsv,0.8854,0.0,0.6218,0.0,0.5781,0.0001,0.6951
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_17_SGNS_historicalVAD.tsv,0.8858,0.0,0.5482,0.0003,0.6162,0.0,0.6834
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_18_SGNS_historicalVAD.tsv,0.873,0.0,0.5688,0.0002,0.5419,0.0004,0.6612
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_19_SGNS_historicalVAD.tsv,0.8557,0.0,0.6377,0.0,0.4965,0.0013,0.6633
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_1_SGNS_historicalVAD.tsv,0.8668,0.0,0.6152,0.0,0.507,0.001,0.663
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_20_SGNS_historicalVAD.tsv,0.8797,0.0,0.6289,0.0,0.529,0.0005,0.6792
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_21_SGNS_historicalVAD.tsv,0.8879,0.0,0.657,0.0,0.5883,0.0001,0.7111
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_22_SGNS_historicalVAD.tsv,0.8594,0.0,0.6078,0.0,0.5363,0.0004,0.6678
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_23_SGNS_historicalVAD.tsv,0.8681,0.0,0.6014,0.0001,0.5537,0.0003,0.6744
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_24_SGNS_historicalVAD.tsv,0.8648,0.0,0.6325,0.0,0.5554,0.0002,0.6842
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_25_SGNS_historicalVAD.tsv,0.8704,0.0,0.6337,0.0,0.5733,0.0001,0.6925
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_26_SGNS_historicalVAD.tsv,0.8671,0.0,0.6287,0.0,0.5574,0.0002,0.6844
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_27_SGNS_historicalVAD.tsv,0.8721,0.0,0.6436,0.0,0.5552,0.0002,0.6903
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_28_SGNS_historicalVAD.tsv,0.8712,0.0,0.6077,0.0,0.5602,0.0002,0.6797
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_29_SGNS_historicalVAD.tsv,0.884,0.0,0.5606,0.0002,0.6082,0.0,0.6843
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_2_SGNS_historicalVAD.tsv,0.8631,0.0,0.6487,0.0,0.5303,0.0005,0.6807
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_30_SGNS_historicalVAD.tsv,0.8729,0.0,0.5932,0.0001,0.5396,0.0004,0.6686
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_31_SGNS_historicalVAD.tsv,0.8568,0.0,0.6223,0.0,0.5078,0.001,0.6623
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_32_SGNS_historicalVAD.tsv,0.8758,0.0,0.6454,0.0,0.5583,0.0002,0.6932
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_33_SGNS_historicalVAD.tsv,0.8906,0.0,0.5656,0.0002,0.5452,0.0003,0.6671
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_34_SGNS_historicalVAD.tsv,0.8651,0.0,0.6897,0.0,0.5553,0.0002,0.7034
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_35_SGNS_historicalVAD.tsv,0.8593,0.0,0.6632,0.0,0.5371,0.0004,0.6865
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_36_SGNS_historicalVAD.tsv,0.8514,0.0,0.6222,0.0,0.5158,0.0008,0.6631
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_37_SGNS_historicalVAD.tsv,0.8754,0.0,0.6585,0.0,0.4959,0.0013,0.6766
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_38_SGNS_historicalVAD.tsv,0.8648,0.0,0.6611,0.0,0.5688,0.0002,0.6982
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_39_SGNS_historicalVAD.tsv,0.8666,0.0,0.6578,0.0,0.4918,0.0015,0.6721
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_3_SGNS_historicalVAD.tsv,0.876,0.0,0.622,0.0,0.5518,0.0003,0.6833
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_40_SGNS_historicalVAD.tsv,0.8596,0.0,0.5368,0.0004,0.5549,0.0002,0.6504
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_41_SGNS_historicalVAD.tsv,0.8673,0.0,0.627,0.0,0.5792,0.0001,0.6912
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_42_SGNS_historicalVAD.tsv,0.8395,0.0,0.6232,0.0,0.5427,0.0004,0.6685
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_43_SGNS_historicalVAD.tsv,0.8689,0.0,0.5943,0.0001,0.4833,0.0018,0.6488
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_44_SGNS_historicalVAD.tsv,0.8558,0.0,0.6821,0.0,0.5582,0.0002,0.6987
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_45_SGNS_historicalVAD.tsv,0.8728,0.0,0.6304,0.0,0.5522,0.0003,0.6851
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_46_SGNS_historicalVAD.tsv,0.8603,0.0,0.6177,0.0,0.5598,0.0002,0.6793
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_47_SGNS_historicalVAD.tsv,0.8797,0.0,0.6171,0.0,0.5671,0.0002,0.688
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_48_SGNS_historicalVAD.tsv,0.863,0.0,0.6313,0.0,0.4802,0.002,0.6582
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_49_SGNS_historicalVAD.tsv,0.8733,0.0,0.5993,0.0001,0.5238,0.0006,0.6655
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_4_SGNS_historicalVAD.tsv,0.8929,0.0,0.6481,0.0,0.5347,0.0005,0.6919
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_50_SGNS_historicalVAD.tsv,0.8685,0.0,0.5551,0.0002,0.5439,0.0003,0.6558
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_5_SGNS_historicalVAD.tsv,0.8681,0.0,0.5346,0.0005,0.544,0.0003,0.6489
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_6_SGNS_historicalVAD.tsv,0.8753,0.0,0.6497,0.0,0.55,0.0003,0.6917
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_7_SGNS_historicalVAD.tsv,0.8315,0.0,0.6013,0.0001,0.5393,0.0004,0.6573
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_8_SGNS_historicalVAD.tsv,0.8638,0.0,0.5792,0.0001,0.6343,0.0,0.6925
stable_words\SGNS_LinearRegression\Warriner2000\Warriner_2000_9_SGNS_historicalVAD.tsv,0.8766,0.0,0.6864,0.0,0.6122,0.0,0.7251
Mean,0.868588,0.0,0.6171479999999999,6.8e-05,0.546644,0.00046199999999999995,0.6774640000000001
