,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_10_SGNS_historicalVAD.tsv,0.7649,0.0,0.5336,0.0006,0.0676,0.6868,0.4553
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_11_SGNS_historicalVAD.tsv,0.7652,0.0,0.5373,0.0005,0.0717,0.6687,0.4581
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_12_SGNS_historicalVAD.tsv,0.7698,0.0,0.5362,0.0005,0.0667,0.6908,0.4576
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_13_SGNS_historicalVAD.tsv,0.7735,0.0,0.5341,0.0006,0.0771,0.6453,0.4616
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_14_SGNS_historicalVAD.tsv,0.7702,0.0,0.5411,0.0005,0.0794,0.6357,0.4636
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_15_SGNS_historicalVAD.tsv,0.7703,0.0,0.5291,0.0006,0.0648,0.6989,0.4547
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_16_SGNS_historicalVAD.tsv,0.7639,0.0,0.5304,0.0006,0.0793,0.6361,0.4579
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_17_SGNS_historicalVAD.tsv,0.7633,0.0,0.5334,0.0006,0.0775,0.6438,0.4581
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_18_SGNS_historicalVAD.tsv,0.7628,0.0,0.5377,0.0005,0.0715,0.6696,0.4574
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_19_SGNS_historicalVAD.tsv,0.7679,0.0,0.5339,0.0006,0.0667,0.6906,0.4562
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_1_SGNS_historicalVAD.tsv,0.7676,0.0,0.5313,0.0006,0.0675,0.6873,0.4555
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_20_SGNS_historicalVAD.tsv,0.7685,0.0,0.5335,0.0006,0.0726,0.665,0.4582
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_21_SGNS_historicalVAD.tsv,0.7738,0.0,0.5334,0.0006,0.0729,0.6636,0.46
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_22_SGNS_historicalVAD.tsv,0.7694,0.0,0.5364,0.0005,0.0783,0.6405,0.4614
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_23_SGNS_historicalVAD.tsv,0.7661,0.0,0.5364,0.0005,0.067,0.6892,0.4565
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_24_SGNS_historicalVAD.tsv,0.7655,0.0,0.5312,0.0006,0.0686,0.6822,0.4551
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_25_SGNS_historicalVAD.tsv,0.763,0.0,0.5306,0.0006,0.0732,0.6623,0.4556
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_26_SGNS_historicalVAD.tsv,0.7653,0.0,0.5297,0.0006,0.0753,0.6533,0.4568
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_27_SGNS_historicalVAD.tsv,0.7698,0.0,0.5371,0.0005,0.0591,0.7245,0.4553
stable_words\SGNS_PaRaSim\NRC_VAD8000\NRC_VAD_8000_28_SGNS_historicalVAD.tsv,0.7711,0.0,0.5351,0.0005,0.0714,0.6702,0.4592
