,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_10_FastText_historicalVAD.tsv,0.8775,0.0,0.6735,0.0,0.7412,0.0,0.7641
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_11_FastText_historicalVAD.tsv,0.8736,0.0,0.6833,0.0,0.7411,0.0,0.766
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_12_FastText_historicalVAD.tsv,0.8763,0.0,0.6825,0.0,0.7382,0.0,0.7656
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_13_FastText_historicalVAD.tsv,0.8724,0.0,0.6649,0.0,0.7442,0.0,0.7605
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_14_FastText_historicalVAD.tsv,0.8798,0.0,0.6765,0.0,0.7533,0.0,0.7699
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_15_FastText_historicalVAD.tsv,0.8726,0.0,0.6857,0.0,0.7446,0.0,0.7676
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_16_FastText_historicalVAD.tsv,0.8751,0.0,0.706,0.0,0.7359,0.0,0.7723
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_17_FastText_historicalVAD.tsv,0.8777,0.0,0.6677,0.0,0.7299,0.0,0.7584
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_18_FastText_historicalVAD.tsv,0.8773,0.0,0.6755,0.0,0.7416,0.0,0.7648
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_19_FastText_historicalVAD.tsv,0.8642,0.0,0.6553,0.0,0.7395,0.0,0.753
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_1_FastText_historicalVAD.tsv,0.868,0.0,0.6799,0.0,0.7264,0.0,0.7581
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_20_FastText_historicalVAD.tsv,0.8776,0.0,0.6738,0.0,0.7437,0.0,0.7651
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_21_FastText_historicalVAD.tsv,0.8746,0.0,0.6837,0.0,0.7615,0.0,0.7733
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_22_FastText_historicalVAD.tsv,0.871,0.0,0.6657,0.0,0.7323,0.0,0.7563
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_23_FastText_historicalVAD.tsv,0.8768,0.0,0.6593,0.0,0.7505,0.0,0.7622
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_24_FastText_historicalVAD.tsv,0.8745,0.0,0.681,0.0,0.7305,0.0,0.762
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_25_FastText_historicalVAD.tsv,0.8695,0.0,0.6918,0.0,0.7277,0.0,0.763
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_26_FastText_historicalVAD.tsv,0.8728,0.0,0.6674,0.0,0.7363,0.0,0.7588
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_27_FastText_historicalVAD.tsv,0.8638,0.0,0.6627,0.0,0.7349,0.0,0.7538
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_28_FastText_historicalVAD.tsv,0.8666,0.0,0.673,0.0,0.7395,0.0,0.7597
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_29_FastText_historicalVAD.tsv,0.8645,0.0,0.6744,0.0,0.7336,0.0,0.7575
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_2_FastText_historicalVAD.tsv,0.8749,0.0,0.6916,0.0,0.7265,0.0,0.7643
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_30_FastText_historicalVAD.tsv,0.8762,0.0,0.6824,0.0,0.7435,0.0,0.7674
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_31_FastText_historicalVAD.tsv,0.873,0.0,0.6801,0.0,0.7397,0.0,0.7643
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_32_FastText_historicalVAD.tsv,0.8703,0.0,0.6768,0.0,0.7627,0.0,0.7699
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_33_FastText_historicalVAD.tsv,0.8774,0.0,0.6755,0.0,0.7377,0.0,0.7635
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_34_FastText_historicalVAD.tsv,0.8815,0.0,0.683,0.0,0.7416,0.0,0.7687
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_35_FastText_historicalVAD.tsv,0.8704,0.0,0.6827,0.0,0.737,0.0,0.7634
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_36_FastText_historicalVAD.tsv,0.8781,0.0,0.6781,0.0,0.7364,0.0,0.7642
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_37_FastText_historicalVAD.tsv,0.8725,0.0,0.6635,0.0,0.7318,0.0,0.7559
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_38_FastText_historicalVAD.tsv,0.872,0.0,0.6766,0.0,0.742,0.0,0.7635
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_39_FastText_historicalVAD.tsv,0.8791,0.0,0.6703,0.0,0.7653,0.0,0.7715
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_3_FastText_historicalVAD.tsv,0.8706,0.0,0.6676,0.0,0.736,0.0,0.7581
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_40_FastText_historicalVAD.tsv,0.8691,0.0,0.6681,0.0,0.7398,0.0,0.759
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_41_FastText_historicalVAD.tsv,0.8786,0.0,0.6929,0.0,0.7461,0.0,0.7726
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_42_FastText_historicalVAD.tsv,0.8785,0.0,0.6656,0.0,0.751,0.0,0.765
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_43_FastText_historicalVAD.tsv,0.877,0.0,0.6813,0.0,0.7543,0.0,0.7709
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_44_FastText_historicalVAD.tsv,0.8691,0.0,0.663,0.0,0.7385,0.0,0.7569
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_45_FastText_historicalVAD.tsv,0.8731,0.0,0.6773,0.0,0.743,0.0,0.7645
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_46_FastText_historicalVAD.tsv,0.8741,0.0,0.6674,0.0,0.7586,0.0,0.7667
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_47_FastText_historicalVAD.tsv,0.871,0.0,0.678,0.0,0.761,0.0,0.77
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_48_FastText_historicalVAD.tsv,0.8719,0.0,0.67,0.0,0.7491,0.0,0.7637
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_49_FastText_historicalVAD.tsv,0.8723,0.0,0.6757,0.0,0.755,0.0,0.7677
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_4_FastText_historicalVAD.tsv,0.8716,0.0,0.6604,0.0,0.7391,0.0,0.7571
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_50_FastText_historicalVAD.tsv,0.8695,0.0,0.6865,0.0,0.738,0.0,0.7647
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_5_FastText_historicalVAD.tsv,0.875,0.0,0.6603,0.0,0.7285,0.0,0.7546
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_6_FastText_historicalVAD.tsv,0.8761,0.0,0.6839,0.0,0.7394,0.0,0.7665
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_7_FastText_historicalVAD.tsv,0.8731,0.0,0.6765,0.0,0.7412,0.0,0.7636
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_8_FastText_historicalVAD.tsv,0.8752,0.0,0.6704,0.0,0.7547,0.0,0.7668
HistoricalVAD\FastText_LinearRegression\NRC_VAD9000\NRC_VAD_9000_9_FastText_historicalVAD.tsv,0.8752,0.0,0.6715,0.0,0.7294,0.0,0.7587
Mean,0.873452,0.0,0.675212,0.0,0.741866,0.0,0.763514
