,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_10_FastText_historicalVAD.tsv,0.8443,0.0,0.4958,0.0015,0.6262,0.0,0.6554
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_11_FastText_historicalVAD.tsv,0.833,0.0,0.3843,0.0172,0.5822,0.0001,0.5998
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_12_FastText_historicalVAD.tsv,0.8083,0.0,0.5285,0.0006,0.6279,0.0,0.6549
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_13_FastText_historicalVAD.tsv,0.7842,0.0,0.4421,0.0054,0.6758,0.0,0.6341
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_14_FastText_historicalVAD.tsv,0.8454,0.0,0.4567,0.0039,0.7198,0.0,0.674
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_15_FastText_historicalVAD.tsv,0.815,0.0,0.49,0.0018,0.6785,0.0,0.6612
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_16_FastText_historicalVAD.tsv,0.7946,0.0,0.4643,0.0033,0.5995,0.0001,0.6195
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_17_FastText_historicalVAD.tsv,0.8496,0.0,0.5294,0.0006,0.7477,0.0,0.7089
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_18_FastText_historicalVAD.tsv,0.8333,0.0,0.3592,0.0268,0.7351,0.0,0.6425
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_19_FastText_historicalVAD.tsv,0.8514,0.0,0.4574,0.0039,0.6985,0.0,0.6691
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_1_FastText_historicalVAD.tsv,0.8827,0.0,0.4745,0.0026,0.6015,0.0001,0.6529
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_20_FastText_historicalVAD.tsv,0.8341,0.0,0.4616,0.0035,0.6901,0.0,0.6619
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_21_FastText_historicalVAD.tsv,0.8496,0.0,0.5627,0.0002,0.7059,0.0,0.7061
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_22_FastText_historicalVAD.tsv,0.8593,0.0,0.485,0.002,0.7293,0.0,0.6912
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_23_FastText_historicalVAD.tsv,0.8543,0.0,0.395,0.0141,0.6282,0.0,0.6258
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_24_FastText_historicalVAD.tsv,0.8293,0.0,0.3849,0.017,0.6507,0.0,0.6217
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_25_FastText_historicalVAD.tsv,0.8514,0.0,0.5592,0.0003,0.7073,0.0,0.7059
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_26_FastText_historicalVAD.tsv,0.8512,0.0,0.3962,0.0138,0.631,0.0,0.6262
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_27_FastText_historicalVAD.tsv,0.8143,0.0,0.5403,0.0005,0.6184,0.0,0.6577
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_28_FastText_historicalVAD.tsv,0.8645,0.0,0.4284,0.0073,0.6806,0.0,0.6578
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_29_FastText_historicalVAD.tsv,0.84,0.0,0.4476,0.0048,0.5943,0.0001,0.6273
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_2_FastText_historicalVAD.tsv,0.8337,0.0,0.5644,0.0002,0.6689,0.0,0.689
HistoricalVAD\FastText_LinearRegression\Warriner2000\Warriner_2000_30_FastText_historicalVAD.tsv,0.8327,0.0,0.5027,0.0013,0.6645,0.0,0.6666
