,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_10_FastText_historicalVAD.tsv,0.7976,0.0,0.5691,0.0002,0.6132,0.0,0.66
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_11_FastText_historicalVAD.tsv,0.7832,0.0,0.5958,0.0001,0.6282,0.0,0.669
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_12_FastText_historicalVAD.tsv,0.782,0.0,0.6417,0.0,0.573,0.0002,0.6656
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_13_FastText_historicalVAD.tsv,0.7968,0.0,0.568,0.0002,0.651,0.0,0.6719
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_14_FastText_historicalVAD.tsv,0.7829,0.0,0.6034,0.0001,0.5735,0.0002,0.6533
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_15_FastText_historicalVAD.tsv,0.7756,0.0,0.6247,0.0,0.6017,0.0001,0.6673
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_16_FastText_historicalVAD.tsv,0.7555,0.0,0.4705,0.0029,0.5347,0.0005,0.5869
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_17_FastText_historicalVAD.tsv,0.7755,0.0,0.5788,0.0001,0.6026,0.0001,0.6523
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_18_FastText_historicalVAD.tsv,0.75,0.0,0.5759,0.0002,0.5804,0.0001,0.6354
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_19_FastText_historicalVAD.tsv,0.7775,0.0,0.5967,0.0001,0.5916,0.0001,0.6553
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_1_FastText_historicalVAD.tsv,0.7546,0.0,0.6216,0.0,0.5383,0.0005,0.6382
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_20_FastText_historicalVAD.tsv,0.7995,0.0,0.561,0.0002,0.5629,0.0002,0.6411
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_21_FastText_historicalVAD.tsv,0.7549,0.0,0.5525,0.0003,0.5648,0.0002,0.6241
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_22_FastText_historicalVAD.tsv,0.7709,0.0,0.6318,0.0,0.6218,0.0,0.6749
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_23_FastText_historicalVAD.tsv,0.7329,0.0,0.6107,0.0,0.5883,0.0001,0.644
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_24_FastText_historicalVAD.tsv,0.7775,0.0,0.6723,0.0,0.5877,0.0001,0.6792
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_25_FastText_historicalVAD.tsv,0.7418,0.0,0.6227,0.0,0.5504,0.0003,0.6383
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_26_FastText_historicalVAD.tsv,0.7086,0.0,0.561,0.0002,0.5527,0.0003,0.6074
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_27_FastText_historicalVAD.tsv,0.7221,0.0,0.5815,0.0001,0.5246,0.0007,0.6094
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_28_FastText_historicalVAD.tsv,0.7689,0.0,0.544,0.0004,0.563,0.0002,0.6253
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_29_FastText_historicalVAD.tsv,0.7769,0.0,0.589,0.0001,0.5294,0.0006,0.6318
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_2_FastText_historicalVAD.tsv,0.7699,0.0,0.5816,0.0001,0.5882,0.0001,0.6466
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_30_FastText_historicalVAD.tsv,0.7974,0.0,0.5861,0.0001,0.6228,0.0,0.6688
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_31_FastText_historicalVAD.tsv,0.7455,0.0,0.4906,0.0018,0.5595,0.0003,0.5985
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_32_FastText_historicalVAD.tsv,0.764,0.0,0.6015,0.0001,0.5663,0.0002,0.6439
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_33_FastText_historicalVAD.tsv,0.7874,0.0,0.6025,0.0001,0.5959,0.0001,0.6619
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_34_FastText_historicalVAD.tsv,0.786,0.0,0.6325,0.0,0.6367,0.0,0.6851
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_35_FastText_historicalVAD.tsv,0.795,0.0,0.6172,0.0,0.6422,0.0,0.6848
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_36_FastText_historicalVAD.tsv,0.7833,0.0,0.5924,0.0001,0.58,0.0001,0.6519
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_37_FastText_historicalVAD.tsv,0.7877,0.0,0.6256,0.0,0.6527,0.0,0.6887
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_38_FastText_historicalVAD.tsv,0.807,0.0,0.6019,0.0001,0.5822,0.0001,0.6637
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_39_FastText_historicalVAD.tsv,0.8012,0.0,0.5193,0.0008,0.6356,0.0,0.652
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_3_FastText_historicalVAD.tsv,0.7847,0.0,0.5591,0.0003,0.5835,0.0001,0.6424
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_40_FastText_historicalVAD.tsv,0.8126,0.0,0.6049,0.0001,0.5667,0.0002,0.6614
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_41_FastText_historicalVAD.tsv,0.7792,0.0,0.6283,0.0,0.5902,0.0001,0.6659
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_42_FastText_historicalVAD.tsv,0.8065,0.0,0.525,0.0007,0.6572,0.0,0.6629
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_43_FastText_historicalVAD.tsv,0.7794,0.0,0.5801,0.0001,0.599,0.0001,0.6529
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_44_FastText_historicalVAD.tsv,0.8069,0.0,0.6683,0.0,0.6573,0.0,0.7109
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_45_FastText_historicalVAD.tsv,0.7461,0.0,0.5683,0.0002,0.5785,0.0001,0.631
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_46_FastText_historicalVAD.tsv,0.8285,0.0,0.5763,0.0002,0.6223,0.0,0.6757
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_47_FastText_historicalVAD.tsv,0.7805,0.0,0.6028,0.0001,0.6014,0.0001,0.6616
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_48_FastText_historicalVAD.tsv,0.7941,0.0,0.5002,0.0014,0.5994,0.0001,0.6312
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_49_FastText_historicalVAD.tsv,0.8012,0.0,0.6231,0.0,0.636,0.0,0.6868
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_4_FastText_historicalVAD.tsv,0.7885,0.0,0.6122,0.0,0.5824,0.0001,0.6611
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_50_FastText_historicalVAD.tsv,0.7364,0.0,0.6018,0.0001,0.5927,0.0001,0.6436
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_5_FastText_historicalVAD.tsv,0.7842,0.0,0.565,0.0002,0.5477,0.0004,0.6323
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_6_FastText_historicalVAD.tsv,0.7489,0.0,0.5706,0.0002,0.5904,0.0001,0.6366
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_7_FastText_historicalVAD.tsv,0.7955,0.0,0.6335,0.0,0.6366,0.0,0.6885
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_8_FastText_historicalVAD.tsv,0.7647,0.0,0.6262,0.0,0.5445,0.0004,0.6451
HistoricalVAD\FastText_kNN\Warriner6000\Warriner_6000_9_FastText_historicalVAD.tsv,0.7799,0.0,0.5563,0.0003,0.5583,0.0003,0.6315
Mean,0.7765479999999998,0.0,0.5885180000000001,0.000246,0.5907999999999999,0.000152,0.65196
