,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_10_SGNS_historicalVAD.tsv,0.8889,0.0,0.6488,0.0,0.7485,0.0,0.7621
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_11_SGNS_historicalVAD.tsv,0.8868,0.0,0.6553,0.0,0.7541,0.0,0.7654
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_12_SGNS_historicalVAD.tsv,0.8866,0.0,0.6594,0.0,0.757,0.0,0.7677
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_13_SGNS_historicalVAD.tsv,0.8856,0.0,0.6564,0.0,0.7396,0.0,0.7606
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_14_SGNS_historicalVAD.tsv,0.8845,0.0,0.6499,0.0,0.7561,0.0,0.7635
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_15_SGNS_historicalVAD.tsv,0.8879,0.0,0.6386,0.0,0.7442,0.0,0.7569
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_16_SGNS_historicalVAD.tsv,0.8854,0.0,0.6401,0.0,0.7411,0.0,0.7556
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_17_SGNS_historicalVAD.tsv,0.8882,0.0,0.6588,0.0,0.7521,0.0,0.7664
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_18_SGNS_historicalVAD.tsv,0.8884,0.0,0.6612,0.0,0.7538,0.0,0.7678
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_19_SGNS_historicalVAD.tsv,0.8897,0.0,0.6599,0.0,0.7517,0.0,0.7671
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_1_SGNS_historicalVAD.tsv,0.8866,0.0,0.6495,0.0,0.7563,0.0,0.7641
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_20_SGNS_historicalVAD.tsv,0.89,0.0,0.6558,0.0,0.7463,0.0,0.764
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_21_SGNS_historicalVAD.tsv,0.8933,0.0,0.6573,0.0,0.7485,0.0,0.7664
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_22_SGNS_historicalVAD.tsv,0.8882,0.0,0.6568,0.0,0.7696,0.0,0.7715
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_23_SGNS_historicalVAD.tsv,0.8854,0.0,0.6473,0.0,0.7516,0.0,0.7614
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_24_SGNS_historicalVAD.tsv,0.8882,0.0,0.6365,0.0,0.7574,0.0,0.7607
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_25_SGNS_historicalVAD.tsv,0.8895,0.0,0.6618,0.0,0.757,0.0,0.7695
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_26_SGNS_historicalVAD.tsv,0.8878,0.0,0.6495,0.0,0.7504,0.0,0.7626
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_27_SGNS_historicalVAD.tsv,0.8891,0.0,0.6476,0.0,0.7447,0.0,0.7605
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_28_SGNS_historicalVAD.tsv,0.888,0.0,0.6542,0.0,0.7638,0.0,0.7687
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_29_SGNS_historicalVAD.tsv,0.8864,0.0,0.6639,0.0,0.7594,0.0,0.7699
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_2_SGNS_historicalVAD.tsv,0.8877,0.0,0.6488,0.0,0.7416,0.0,0.7593
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_30_SGNS_historicalVAD.tsv,0.8882,0.0,0.6521,0.0,0.7457,0.0,0.762
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_31_SGNS_historicalVAD.tsv,0.8879,0.0,0.6447,0.0,0.7371,0.0,0.7566
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_32_SGNS_historicalVAD.tsv,0.8878,0.0,0.6507,0.0,0.7409,0.0,0.7598
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_33_SGNS_historicalVAD.tsv,0.8889,0.0,0.6455,0.0,0.7492,0.0,0.7612
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_34_SGNS_historicalVAD.tsv,0.8878,0.0,0.6487,0.0,0.7591,0.0,0.7652
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_35_SGNS_historicalVAD.tsv,0.8833,0.0,0.6448,0.0,0.7479,0.0,0.7587
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_36_SGNS_historicalVAD.tsv,0.8897,0.0,0.649,0.0,0.7722,0.0,0.7703
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_37_SGNS_historicalVAD.tsv,0.8843,0.0,0.6508,0.0,0.7514,0.0,0.7622
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_38_SGNS_historicalVAD.tsv,0.8877,0.0,0.647,0.0,0.7384,0.0,0.7577
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_39_SGNS_historicalVAD.tsv,0.8873,0.0,0.6612,0.0,0.7625,0.0,0.7703
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_3_SGNS_historicalVAD.tsv,0.8875,0.0,0.6505,0.0,0.7548,0.0,0.7643
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_40_SGNS_historicalVAD.tsv,0.887,0.0,0.6543,0.0,0.7488,0.0,0.7634
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_41_SGNS_historicalVAD.tsv,0.882,0.0,0.6554,0.0,0.7581,0.0,0.7652
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_42_SGNS_historicalVAD.tsv,0.885,0.0,0.6494,0.0,0.7524,0.0,0.7623
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_43_SGNS_historicalVAD.tsv,0.8878,0.0,0.6477,0.0,0.7474,0.0,0.761
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_44_SGNS_historicalVAD.tsv,0.8852,0.0,0.6695,0.0,0.7552,0.0,0.7699
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_45_SGNS_historicalVAD.tsv,0.8862,0.0,0.6494,0.0,0.7476,0.0,0.7611
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_46_SGNS_historicalVAD.tsv,0.8861,0.0,0.6442,0.0,0.7497,0.0,0.76
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_47_SGNS_historicalVAD.tsv,0.8876,0.0,0.6545,0.0,0.7367,0.0,0.7596
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_48_SGNS_historicalVAD.tsv,0.8863,0.0,0.648,0.0,0.7401,0.0,0.7581
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_49_SGNS_historicalVAD.tsv,0.8866,0.0,0.6531,0.0,0.7539,0.0,0.7645
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_4_SGNS_historicalVAD.tsv,0.8853,0.0,0.6519,0.0,0.7542,0.0,0.7638
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_50_SGNS_historicalVAD.tsv,0.8844,0.0,0.6642,0.0,0.7584,0.0,0.769
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_5_SGNS_historicalVAD.tsv,0.8837,0.0,0.6592,0.0,0.7433,0.0,0.7621
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_6_SGNS_historicalVAD.tsv,0.8818,0.0,0.6584,0.0,0.7531,0.0,0.7644
HistoricalVAD\SGNS_LinearRegression\NRC_VAD10000\NRC_VAD_10000_7_SGNS_historicalVAD.tsv,0.8854,0.0,0.6543,0.0,0.7525,0.0,0.7641
