,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_10_SGNS_historicalVAD.tsv,0.8857,0.0,0.5337,0.0006,0.7532,0.0,0.7242
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_11_SGNS_historicalVAD.tsv,0.8724,0.0,0.4955,0.0016,0.747,0.0,0.705
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_12_SGNS_historicalVAD.tsv,0.8816,0.0,0.5016,0.0013,0.7774,0.0,0.7202
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_13_SGNS_historicalVAD.tsv,0.8848,0.0,0.5985,0.0001,0.7758,0.0,0.753
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_14_SGNS_historicalVAD.tsv,0.879,0.0,0.5373,0.0005,0.7844,0.0,0.7335
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_15_SGNS_historicalVAD.tsv,0.8751,0.0,0.5142,0.001,0.7799,0.0,0.723
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_16_SGNS_historicalVAD.tsv,0.8819,0.0,0.5583,0.0003,0.7555,0.0,0.7319
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_17_SGNS_historicalVAD.tsv,0.8878,0.0,0.5455,0.0004,0.8074,0.0,0.7469
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_18_SGNS_historicalVAD.tsv,0.8731,0.0,0.5442,0.0004,0.7904,0.0,0.7359
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_19_SGNS_historicalVAD.tsv,0.8654,0.0,0.5615,0.0002,0.7392,0.0,0.722
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_1_SGNS_historicalVAD.tsv,0.8857,0.0,0.49,0.0018,0.7614,0.0,0.7123
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_20_SGNS_historicalVAD.tsv,0.882,0.0,0.5443,0.0004,0.7519,0.0,0.7261
HistoricalVAD\SGNS_LinearRegression\Warriner3000\Warriner_3000_21_SGNS_historicalVAD.tsv,0.8742,0.0,0.5298,0.0006,0.759,0.0,0.721
