,r_V,p_value_V,r_A,p_value_A,r_D,p_value_D,single_mean
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_10_SGNS_historicalVAD.tsv,0.7858,0.0,0.6322,0.0,0.5279,0.0006,0.6486
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_11_SGNS_historicalVAD.tsv,0.7848,0.0,0.6317,0.0,0.5329,0.0005,0.6498
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_12_SGNS_historicalVAD.tsv,0.7827,0.0,0.6312,0.0,0.5333,0.0005,0.649
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_13_SGNS_historicalVAD.tsv,0.787,0.0,0.6328,0.0,0.5323,0.0005,0.6507
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_14_SGNS_historicalVAD.tsv,0.7853,0.0,0.6319,0.0,0.5317,0.0005,0.6496
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_15_SGNS_historicalVAD.tsv,0.7821,0.0,0.6342,0.0,0.5392,0.0004,0.6518
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_16_SGNS_historicalVAD.tsv,0.7837,0.0,0.6356,0.0,0.5342,0.0005,0.6512
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_17_SGNS_historicalVAD.tsv,0.7842,0.0,0.6307,0.0,0.5335,0.0005,0.6495
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_18_SGNS_historicalVAD.tsv,0.7845,0.0,0.6312,0.0,0.5295,0.0005,0.6484
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_19_SGNS_historicalVAD.tsv,0.7825,0.0,0.6282,0.0,0.5361,0.0004,0.6489
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_1_SGNS_historicalVAD.tsv,0.7852,0.0,0.6334,0.0,0.534,0.0005,0.6508
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_20_SGNS_historicalVAD.tsv,0.7856,0.0,0.6342,0.0,0.5312,0.0005,0.6504
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_21_SGNS_historicalVAD.tsv,0.786,0.0,0.6292,0.0,0.5397,0.0004,0.6517
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_22_SGNS_historicalVAD.tsv,0.7858,0.0,0.6324,0.0,0.5396,0.0004,0.6526
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_23_SGNS_historicalVAD.tsv,0.7841,0.0,0.6299,0.0,0.5407,0.0004,0.6516
HistoricalVAD\SGNS_PaRaSim\NRC_VAD9000\NRC_VAD_9000_24_SGNS_historicalVAD.tsv,0.7845,0.0,0.6346,0.0,0.5294,0.0005,0.6495
