bad	2.0	6.0	3.984
bag	5.0	3.0	3.512
ball	6.92	4.416	3.536
chairman	6.248	5.536	8.464
contemplation	5.416	3.592	6.016
delightful	8.344	6.88	6.152
disgusting	1.248	7.368	2.96
donkey	4.248	3.936	2.96
evil	1.32	7.616	5.36
excellent	8.76	5.696	7.96
face	5.568	2.384	4.624
fiction	4.504	6.256	4.528
fortunate	8.416	6.112	7.688
gas	4.168	4.264	5.152
good	8.504	3.944	5.272
happy	9.0	6.88	7.176
hate	1.248	7.416	4.44
horrible	1.568	7.856	4.184
lane	4.592	4.92	4.608
love	9.0	5.152	6.384
lovely	8.336	4.648	6.928
multitude	5.496	7.12	7.776
ounce	5.248	3.04	3.304
part	6.304	3.224	3.88
perfect	8.84	4.768	7.96
pin	4.504	3.768	4.12
pleasant	8.512	3.48	6.384
poor	2.248	3.864	1.696
quilt	6.144	1.984	2.808
relationship	7.936	5.528	5.712
risk	2.92	7.528	4.504
savage	2.632	8.448	5.84
stroke	5.496	4.52	5.56
tree	6.36	1.944	4.536
twist	4.0	4.752	3.696
unfortunate	1.584	4.896	2.56
unhappy	1.896	5.0	2.24
unpleasant	1.976	5.896	2.48
word	5.416	3.04	4.856
