bad	3.24	4.86	3.56
bag	5.05	3.43	5.62
ball	6.14	3.48	5.47
chairman	5.57	3.55	5.57
delightful	7.38	6.16	6.76
disgusting	2.27	6.15	4.79
donkey	6.29	2.9	5.12
evil	2.34	5.67	3.6
excellent	7.56	5.15	7.22
face	6.36	4.59	5.96
fiction	6.47	4.7	6.45
fortunate	7.33	3.81	5.83
gas	4.06	4.4	4.17
good	7.89	3.66	6.41
happy	8.47	6.05	7.21
hate	1.96	6.26	4.47
horrible	2.33	5.95	5.16
lane	5.29	3.95	6.95
love	8	5.36	5.92
lovely	7.55	3.95	6.38
multitude	5	4.09	5.16
ounce	5.65	3.77	5.26
part	4.77	3.36	5.21
perfect	7.19	4.71	6.53
pin	5.29	3.73	5.76
pleasant	7.24	2.91	6.7
poor	3.67	4.67	4
quilt	5.91	3.11	5.62
relationship	7.83	5	5.83
risk	5.17	6.43	3.89
savage	4.29	4.68	4.22
stroke	4.19	4.95	4.19
tree	7.59	2.67	5.62
twist	4.61	4.27	5.95
unfortunate	3.33	3.52	4.21
unhappy	1.84	5.1	3.71
unpleasant	2.53	4.73	3.54
word	5.77	4	6.22
